bulan,kopi,teh,rempah,tembakau,cokelat,udang,tanilain,tekstil,kayu,sawit,kimia,logam,alat,semen,kertas,karet,minyak,elpiji,manufakturlain,tembaga,nikel,batubara,bauksit,crude,gas,gascair,tambanglain,emas
1/03/2016,53570,6912,42238,1191,4020,118290,191758,1036094,322682,1005132,216617,526073,714489,6944,299550,412609,45347,2492,4094575,213788,,1145578,19,495975,551361,438183,11525,110468
1/04/2016,54410,6912,35004,4379,3813,121328,185041,989790,318577,1131038,246480,643728,697505,4739,288565,460597,62398,46,4094066,131812,,1016283,28,383574,505605,385456,14993,106822
1/05/2016,57050,7506,35319,6811,5459,126523,180299,982089,303848,1042853,265644,615384,668615,6616,288067,465426,50585,2640,4163548,183289,,1082577,58,483200,402285,267056,15103,83303
1/06/2016,69514,7701,57585,4116,14864,154558,189378,1290227,345436,957748,268641,641102,760829,8893,294584,508160,54432,1377,4518162,430733,,1106658,40,607684,502207,357102,32882,113653
1/07/2016,68361,4718,29649,1853,7258,85144,113359,697217,203051,940987,230217,604483,541520,7880,264837,378227,31798,686,2976846,183349,,1062026,20,372713,541739,381824,9218,103503
1/08/2016,101197,8398,83219,6947,16598,129715,170366,1052979,327744,1116230,324869,591530,731912,10188,309295,491913,64359,2750,4241567,466566,,1223488,30,496465,539730,379278,12994,110081
1/09/2016,99113,6827,88054,3066,4743,125917,188777,987109,311648,1125548,287353,779645,780472,6182,298487,506093,70219,272,4061473,418758,,1252319,44,420755,552993,392670,12204,123334
1/10/2016,124240,8170,88880,3223,5633,121751,191345,874716,329149,1449047,336838,728510,749885,9545,285353,482123,72056,10328,4042384,259338,,1368879,29,330918,621508,446440,11680,133705
1/11/2016,114463,6021,78531,4559,4755,121351,199180,950675,343818,1737708,307704,639347,740463,7842,276251,479768,49329,15052,4329178,333220,,1533793,86,367763,614648,430406,13014,140133
1/12/2016,117667,7061,77398,6370,9288,128701,198437,1076909,311658,1746290,366596,752808,684444,6757,296052,551116,82185,9139,4018188,429689,,1640338,45,517246,692490,501078,15459,111890
1/01/2017,94856,7315,54087,3039,1520,106594,163959,1035015,295799,1765223,332184,717592,670164,6512,291221,606432,150331,9411,3898610,309613,,1644235,23,382350,621853,413303,13271,91272
1/02/2017,90077,7692,55110,4376,3380,104386,161931,965576,284046,1556387,397765,537279,672204,4673,283881,635946,77386,11189,4165180,,,1336142,56,443323,676195,490173,7786,115879
1/03/2017,89011,7475,50248,5436,1582,121381,195438,1103714,326127,1608832,460325,645608,806087,6967,311709,790067,161873,6072,4597847,135015,,1771189,43,575860,672565,471692,12960,117140
1/04/2017,85534,7137,42500,5029,10584,118535,187537,928106,286972,1470769,399572,641993,681525,10821,308546,709938,127281,5913,4149188,339375,1564,1714625,40,292906,536934,349299,18296,95936
1/05/2017,108422,8619,43487,7495,922,130758,208591,1056487,328531,1516811,399291,828309,787719,10680,326018,677362,144304,2953,4479274,273673,9205,1660761,41,356110,656295,454790,15273,145851
1/06/2017,102071,5133,38235,5628,6892,115250,170143,914095,251059,1277963,295019,688735,635003,16446,262964,467355,78009,2971,3385172,185064,4823,1392417,2100,398785,669981,471808,12661,113977
1/07/2017,141451,7651,44690,4853,1504,127127,189587,1107900,302223,1382907,352641,800903,746795,16493,352467,598885,122715,2435,4200136,231931,12998,1618667,3895,275786,692688,492832,13414,135858
1/08/2017,127976,9019,60392,3808,13711,141746,228871,1245496,334906,1726469,360366,898414,840849,15727,334823,604245,85829,2381,4726453,264993,20211,1686459,8091,411390,658868,465168,17614,252921
1/09/2017,95807,6494,48979,3200,888,125862,220156,1024783,320605,1529022,379415,857096,790802,9065,332292,559578,169884,10847,4411909,306114,21034,1841193,9466,554057,657210,461004,16912,179314
